Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Doberman,Large,Female,6.0,Spayed,Active,2.0,11.0,2.0,1.0,34.1,Adult
Australian Shepherd,Medium,Male,13.0,Unknown,Active,4.0,9.0,3.0,3.0,25.37,Senior
Great Dane,Unknown,Female,5.0,Spayed,Moderate,3.0,11.0,2.0,2.0,75.22,Adult
Chihuahua,Unknown,Male,11.0,Spayed,Very Active,2.0,13.0,2.0,0.0,1.28,Senior
Golden Retriever,Large,Male,6.0,Spayed,Low,3.0,11.0,2.0,2.0,25.3,Adult
Dachshund,Small,Male,3.0,Spayed,Active,5.0,13.0,1.0,1.0,5.68,Young Adult
Boxer,Medium,Unknown,2.0,Neutered,Unknown,4.0,14.0,2.0,1.0,28.11,Young Adult
German Shepherd,Large,Male,1.0,Spayed,Active,1.0,12.0,0.0,2.0,24.49,Puppy
Unknown,Large,Male,2.0,Neutered,Active,0.0,11.0,0.0,2.0,38.1,Young Adult
Unknown,Large,Male,7.0,Neutered,Moderate,2.0,11.0,2.0,4.0,21.32,Adult
Rottweiler,Large,Female,8.0,Spayed,Very Active,4.0,10.0,2.0,0.0,58.82,Senior
Great Dane,Large,Male,6.0,Neutered,Very Active,3.0,13.0,1.0,1.0,53.9,Adult
German Shepherd,Large,Male,10.0,Neutered,Very Active,5.0,10.0,2.0,2.0,22.68,Senior
Beagle,Small,Male,2.0,Spayed,Active,2.0,9.0,3.0,0.0,14.54,Young Adult
Dachshund,Small,Male,8.0,Spayed,Low,2.0,10.0,1.0,2.0,4.36,Senior
Yorkshire Terrier,Small,Male,2.0,Spayed,Unknown,3.0,10.0,1.0,2.0,2.78,Young Adult
Beagle,Small,Male,6.0,Spayed,Very Active,3.0,13.0,0.0,0.0,14.55,Adult
Siberian Husky,Medium,Female,7.0,Spayed,Low,2.0,14.0,1.0,0.0,24.14,Adult
Rottweiler,Large,Male,6.0,Neutered,Unknown,1.0,11.0,1.0,1.0,40.46,Adult
Rottweiler,Large,Male,8.0,Spayed,Low,3.0,10.0,1.0,3.0,40.48,Senior
Australian Shepherd,Medium,Male,7.0,Unknown,Moderate,0.0,12.0,1.0,2.0,19.05,Adult
Australian Shepherd,Medium,Female,5.0,Unknown,Unknown,2.0,11.0,2.0,3.0,28.12,Adult
Bulldog,Medium,Female,7.0,Unknown,Very Active,1.0,11.0,1.0,2.0,20.53,Adult
Bulldog,Medium,Male,11.0,Neutered,Active,0.0,11.0,0.0,1.0,19.5,Senior
Bulldog,Medium,Female,13.0,Neutered,Active,2.0,11.0,1.0,1.0,21.34,Senior
Unknown,Large,Male,12.0,Neutered,Active,2.0,12.0,1.0,1.0,15.42,Senior
Beagle,Small,Female,3.0,Neutered,Active,2.0,14.0,2.0,0.0,13.94,Young Adult
German Shepherd,Large,Female,6.0,Neutered,Active,3.0,9.0,2.0,0.0,22.02,Adult
Yorkshire Terrier,Small,Male,2.0,Neutered,Moderate,3.0,13.0,2.0,1.0,4.96,Young Adult
Rottweiler,Large,Male,10.0,Neutered,Moderate,1.0,12.0,1.0,4.0,57.07,Senior
Australian Shepherd,Medium,Female,6.0,Spayed,Very Active,3.0,10.0,2.0,1.0,24.7,Adult
Golden Retriever,Large,Female,3.0,Spayed,Very Active,3.0,11.0,2.0,3.0,28.12,Young Adult
Boxer,Medium,Female,12.0,Neutered,Active,4.0,11.0,1.0,2.0,32.21,Senior
Doberman,Large,Male,5.0,Spayed,Very Active,5.0,12.0,2.0,1.0,34.13,Adult
Poodle,Small,Male,12.0,Neutered,Active,5.0,12.0,0.0,0.0,30.93,Senior
Bulldog,Medium,Female,9.0,Spayed,Unknown,0.0,11.0,0.0,3.0,24.37,Senior
Bulldog,Medium,Male,5.0,Spayed,Active,1.0,11.0,2.0,2.0,21.32,Adult
Chihuahua,Unknown,Male,5.0,Spayed,Moderate,1.0,9.0,1.0,1.0,3.63,Adult
Labrador Retriever,Large,Male,7.0,Neutered,Unknown,3.0,13.0,3.0,4.0,26.87,Adult
Beagle,Small,Female,13.0,Unknown,Unknown,2.0,13.0,1.0,0.0,12.39,Senior
Doberman,Large,Female,9.0,Unknown,Active,3.0,8.0,1.0,1.0,33.27,Senior
Rottweiler,Large,Female,10.0,Neutered,Active,0.0,10.0,1.0,4.0,37.47,Senior
Dachshund,Small,Unknown,9.0,Spayed,Unknown,2.0,12.0,3.0,2.0,8.24,Senior
Beagle,Small,Female,13.0,Unknown,Unknown,3.0,13.0,1.0,2.0,14.98,Senior
Rottweiler,Large,Male,3.0,Neutered,Unknown,2.0,11.0,0.0,2.0,37.78,Young Adult
Doberman,Large,Female,11.0,Neutered,Moderate,3.0,10.0,2.0,1.0,40.8,Senior
Golden Retriever,Large,Male,13.0,Spayed,Moderate,3.0,14.0,3.0,2.0,29.48,Senior
Poodle,Small,Female,6.0,Neutered,Active,3.0,10.0,2.0,0.0,31.75,Adult
Golden Retriever,Large,Female,12.0,Spayed,Very Active,1.0,10.0,1.0,1.0,31.99,Senior
Yorkshire Terrier,Small,Female,13.0,Unknown,Very Active,2.0,14.0,1.0,3.0,4.28,Senior
Yorkshire Terrier,Small,Male,6.0,Neutered,Moderate,3.0,11.0,2.0,2.0,4.56,Adult
Chihuahua,Small,Male,8.0,Unknown,Active,4.0,11.0,2.0,1.0,3.73,Senior
German Shepherd,Large,Male,6.0,Unknown,Moderate,1.0,10.0,1.0,3.0,27.22,Adult
Bulldog,Medium,Male,6.0,Spayed,Low,2.0,8.0,1.0,0.0,18.75,Adult
Bulldog,Medium,Female,12.0,Neutered,Very Active,3.0,12.0,0.0,1.0,18.14,Senior
Golden Retriever,Large,Male,5.0,Spayed,Moderate,1.0,13.0,1.0,2.0,29.85,Adult
Rottweiler,Large,Female,4.0,Neutered,Unknown,4.0,12.0,1.0,1.0,51.98,Young Adult
German Shepherd,Large,Male,5.0,Spayed,Moderate,2.0,10.0,0.0,1.0,25.65,Adult
Golden Retriever,Large,Female,9.0,Neutered,Unknown,0.0,11.0,2.0,2.0,25.88,Senior
Doberman,Large,Female,3.0,Unknown,Low,2.0,13.0,1.0,3.0,28.12,Young Adult
Beagle,Small,Male,12.0,Neutered,Low,2.0,9.0,1.0,1.0,12.78,Senior
Boxer,Medium,Male,8.0,Neutered,Active,1.0,11.0,2.0,2.0,34.02,Senior
Unknown,Large,Male,7.0,Unknown,Very Active,2.0,11.0,2.0,1.0,27.67,Adult
Rottweiler,Large,Male,1.0,Neutered,Very Active,4.0,10.0,4.0,0.0,56.81,Puppy
Doberman,Large,Female,7.0,Neutered,Active,2.0,10.0,3.0,2.0,33.11,Adult
Great Dane,Large,Female,13.0,Neutered,Very Active,2.0,12.0,1.0,1.0,65.72,Senior
Dachshund,Small,Female,9.0,Neutered,Unknown,4.0,9.0,0.0,1.0,8.62,Senior
Siberian Husky,Medium,Female,2.0,Neutered,Very Active,6.0,13.0,1.0,2.0,24.17,Young Adult
Dachshund,Small,Female,11.0,Spayed,Very Active,4.0,11.0,0.0,2.0,8.73,Senior
Australian Shepherd,Medium,Male,3.0,Neutered,Low,2.0,11.0,3.0,1.0,24.04,Young Adult
Labrador Retriever,Unknown,Female,5.0,Spayed,Active,2.0,10.0,1.0,0.0,29.99,Adult
Chihuahua,Small,Female,13.0,Unknown,Active,3.0,11.0,2.0,4.0,3.49,Senior
Poodle,Small,Female,12.0,Spayed,Low,2.0,9.0,2.0,3.0,25.4,Senior
Dachshund,Small,Male,5.0,Neutered,Low,2.0,14.0,0.0,1.0,8.83,Adult
Dachshund,Small,Male,6.0,Unknown,Low,6.0,11.0,2.0,3.0,5.25,Adult
Australian Shepherd,Medium,Male,5.0,Spayed,Unknown,3.0,13.0,1.0,1.0,22.68,Adult
Australian Shepherd,Medium,Female,2.0,Spayed,Very Active,4.0,10.0,1.0,0.0,22.23,Young Adult
Great Dane,Large,Male,1.0,Neutered,Moderate,5.0,11.0,0.0,1.0,59.29,Puppy
Bulldog,Medium,Male,3.0,Spayed,Low,4.0,9.0,1.0,1.0,22.68,Young Adult
Great Dane,Large,Female,1.0,Spayed,Low,3.0,10.0,1.0,2.0,45.6,Puppy
Unknown,Small,Male,6.0,Unknown,Unknown,5.0,9.0,3.0,2.0,22.23,Adult
Rottweiler,Large,Male,10.0,Neutered,Active,2.0,10.0,1.0,2.0,52.88,Senior
Boxer,Medium,Female,7.0,Neutered,Very Active,1.0,12.0,2.0,3.0,26.87,Adult
Rottweiler,Large,Male,7.0,Spayed,Very Active,2.0,12.0,2.0,1.0,55.37,Adult
Labrador Retriever,Large,Female,6.0,Unknown,Unknown,4.0,11.0,2.0,2.0,30.17,Adult
Great Dane,Large,Male,2.0,Neutered,Unknown,3.0,9.0,3.0,2.0,73.03,Young Adult
Chihuahua,Small,Female,6.0,Spayed,Very Active,4.0,14.0,4.0,1.0,2.23,Adult
Poodle,Small,Male,8.0,Neutered,Very Active,1.0,9.0,0.0,1.0,24.04,Senior
Rottweiler,Large,Female,6.0,Unknown,Low,1.0,12.0,1.0,2.0,54.74,Adult
Doberman,Large,Female,8.0,Unknown,Unknown,2.0,11.0,0.0,1.0,29.03,Senior
Doberman,Large,Female,3.0,Unknown,Moderate,3.0,10.0,2.0,1.0,31.3,Young Adult
Siberian Husky,Medium,Female,12.0,Spayed,Unknown,5.0,13.0,4.0,3.0,18.16,Senior
Australian Shepherd,Medium,Male,6.0,Spayed,Very Active,0.0,11.0,1.0,4.0,18.14,Adult
Great Dane,Large,Male,4.0,Unknown,Moderate,0.0,12.0,1.0,1.0,79.97,Young Adult
German Shepherd,Large,Female,6.0,Spayed,Unknown,4.0,11.0,2.0,1.0,24.95,Adult
Beagle,Small,Male,9.0,Neutered,Low,4.0,12.0,2.0,2.0,10.27,Senior
Boxer,Medium,Female,8.0,Unknown,Moderate,0.0,8.0,1.0,2.0,34.11,Senior
German Shepherd,Large,Male,10.0,Neutered,Active,3.0,12.0,1.0,3.0,22.68,Senior
Great Dane,Large,Female,12.0,Spayed,Moderate,2.0,9.0,3.0,1.0,61.23,Senior
Beagle,Small,Female,7.0,Neutered,Moderate,1.0,11.0,3.0,2.0,11.84,Adult
German Shepherd,Large,Male,7.0,Neutered,Active,3.0,14.0,1.0,1.0,31.06,Adult
Golden Retriever,Large,Female,6.0,Unknown,Active,1.0,11.0,2.0,1.0,29.1,Adult
Great Dane,Large,Male,2.0,Neutered,Very Active,1.0,13.0,2.0,1.0,73.6,Young Adult
Rottweiler,Large,Male,10.0,Unknown,Active,4.0,12.0,2.0,2.0,55.13,Senior
Labrador Retriever,Large,Female,4.0,Unknown,Active,0.0,10.0,1.0,1.0,25.84,Young Adult
Golden Retriever,Large,Female,13.0,Spayed,Unknown,2.0,11.0,0.0,0.0,28.12,Senior
Chihuahua,Small,Male,5.0,Neutered,Very Active,2.0,11.0,3.0,2.0,2.32,Adult
Bulldog,Medium,Female,7.0,Unknown,Low,2.0,9.0,2.0,3.0,19.96,Adult
Poodle,Small,Male,5.0,Spayed,Low,5.0,12.0,1.0,2.0,25.4,Adult
Chihuahua,Small,Male,1.0,Neutered,Moderate,2.0,10.0,3.0,1.0,2.1,Puppy
Australian Shepherd,Medium,Male,7.0,Unknown,Active,2.0,10.0,2.0,1.0,26.31,Adult
Boxer,Medium,Male,7.0,Unknown,Very Active,3.0,12.0,1.0,0.0,25.63,Adult
Rottweiler,Large,Unknown,5.0,Neutered,Very Active,4.0,9.0,0.0,1.0,45.53,Adult
Dachshund,Small,Male,7.0,Neutered,Unknown,3.0,13.0,1.0,0.0,7.55,Adult
Doberman,Large,Unknown,7.0,Neutered,Moderate,3.0,10.0,0.0,0.0,27.55,Adult
Doberman,Large,Female,9.0,Neutered,Low,0.0,12.0,2.0,1.0,29.79,Senior
Boxer,Medium,Female,6.0,Neutered,Active,0.0,11.0,4.0,1.0,27.16,Adult
Bulldog,Medium,Female,3.0,Spayed,Moderate,0.0,13.0,1.0,1.0,24.53,Young Adult
Labrador Retriever,Large,Female,5.0,Spayed,Low,2.0,11.0,1.0,1.0,30.84,Adult
Golden Retriever,Large,Male,7.0,Spayed,Active,4.0,10.0,3.0,0.0,32.39,Adult
Golden Retriever,Large,Female,10.0,Neutered,Active,3.0,13.0,1.0,3.0,33.22,Senior
Siberian Husky,Medium,Female,3.0,Unknown,Active,1.0,8.0,0.0,2.0,17.24,Young Adult
German Shepherd,Large,Unknown,3.0,Neutered,Moderate,5.0,11.0,2.0,3.0,30.84,Young Adult
Yorkshire Terrier,Small,Female,7.0,Spayed,Very Active,2.0,14.0,2.0,2.0,4.89,Adult
Bulldog,Medium,Female,5.0,Unknown,Active,4.0,13.0,1.0,1.0,21.77,Adult
German Shepherd,Large,Female,10.0,Unknown,Very Active,1.0,12.0,0.0,1.0,25.4,Senior
Rottweiler,Large,Female,3.0,Neutered,Very Active,2.0,13.0,1.0,2.0,45.94,Young Adult
Beagle,Small,Male,5.0,Spayed,Unknown,0.0,10.0,1.0,1.0,13.98,Adult
Beagle,Small,Female,8.0,Neutered,Moderate,6.0,13.0,2.0,0.0,10.32,Senior
Great Dane,Large,Male,9.0,Neutered,Active,3.0,12.0,0.0,0.0,78.46,Senior
Chihuahua,Small,Female,11.0,Spayed,Very Active,2.0,14.0,2.0,0.0,1.03,Senior
Doberman,Large,Female,11.0,Neutered,Very Active,1.0,14.0,2.0,1.0,34.86,Senior
Siberian Husky,Medium,Female,4.0,Unknown,Low,1.0,14.0,1.0,2.0,26.76,Young Adult
Bulldog,Medium,Female,9.0,Neutered,Active,3.0,10.0,2.0,0.0,24.49,Senior
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,2.0,13.0,1.0,3.0,19.87,Young Adult
Poodle,Small,Male,4.0,Neutered,Active,4.0,10.0,3.0,1.0,11.34,Young Adult
Bulldog,Medium,Male,3.0,Spayed,Low,5.0,12.0,1.0,0.0,24.71,Young Adult
Boxer,Medium,Male,6.0,Unknown,Moderate,3.0,9.0,1.0,4.0,26.76,Adult
Rottweiler,Large,Male,5.0,Neutered,Low,2.0,11.0,2.0,0.0,59.31,Adult
Siberian Husky,Medium,Female,5.0,Neutered,Moderate,4.0,11.0,0.0,0.0,26.22,Adult
Dachshund,Small,Male,8.0,Spayed,Unknown,3.0,8.0,2.0,1.0,5.26,Senior
Beagle,Small,Female,9.0,Unknown,Very Active,2.0,9.0,2.0,3.0,10.31,Senior
Labrador Retriever,Large,Male,5.0,Neutered,Very Active,3.0,10.0,2.0,0.0,26.44,Adult
Siberian Husky,Medium,Male,9.0,Spayed,Active,5.0,10.0,0.0,2.0,21.77,Senior
German Shepherd,Large,Female,5.0,Spayed,Low,4.0,11.0,1.0,2.0,22.68,Adult
Dachshund,Small,Male,10.0,Spayed,Low,4.0,12.0,1.0,4.0,7.79,Senior
Boxer,Medium,Male,6.0,Unknown,Low,5.0,8.0,2.0,2.0,32.44,Adult
Beagle,Small,Female,9.0,Neutered,Very Active,5.0,10.0,3.0,4.0,9.94,Senior
Poodle,Small,Female,6.0,Neutered,Active,1.0,8.0,0.0,2.0,13.61,Adult
Poodle,Small,Female,7.0,Unknown,Very Active,4.0,11.0,2.0,3.0,26.31,Adult
Yorkshire Terrier,Small,Male,3.0,Spayed,Active,4.0,11.0,2.0,3.0,2.63,Young Adult
Siberian Husky,Medium,Female,8.0,Spayed,Low,4.0,10.0,2.0,0.0,18.05,Senior
Beagle,Small,Female,11.0,Neutered,Active,1.0,11.0,3.0,0.0,15.58,Senior
Australian Shepherd,Medium,Male,13.0,Spayed,Very Active,5.0,10.0,2.0,0.0,19.5,Senior
Great Dane,Large,Female,6.0,Spayed,Very Active,2.0,13.0,3.0,3.0,72.93,Adult
Great Dane,Large,Female,8.0,Spayed,Unknown,1.0,11.0,2.0,4.0,72.55,Senior
Golden Retriever,Large,Male,5.0,Spayed,Low,0.0,13.0,1.0,0.0,26.71,Adult
Great Dane,Large,Female,11.0,Spayed,Active,2.0,10.0,2.0,1.0,53.73,Senior
Labrador Retriever,Large,Female,7.0,Spayed,Moderate,1.0,9.0,1.0,2.0,28.58,Adult
Golden Retriever,Large,Female,12.0,Unknown,Very Active,0.0,9.0,0.0,0.0,25.85,Senior
German Shepherd,Large,Female,5.0,Unknown,Moderate,1.0,11.0,0.0,3.0,25.85,Adult
Siberian Husky,Medium,Male,5.0,Neutered,Very Active,1.0,9.0,1.0,3.0,25.22,Adult
Australian Shepherd,Medium,Male,5.0,Neutered,Moderate,4.0,11.0,2.0,2.0,24.49,Adult
Golden Retriever,Large,Male,12.0,Spayed,Very Active,4.0,13.0,1.0,1.0,30.84,Senior
Poodle,Small,Female,7.0,Neutered,Active,4.0,11.0,3.0,1.0,15.42,Adult
Labrador Retriever,Large,Female,12.0,Neutered,Low,2.0,12.0,1.0,4.0,30.84,Senior
Boxer,Medium,Male,1.0,Neutered,Very Active,6.0,8.0,2.0,1.0,26.75,Puppy
Australian Shepherd,Medium,Female,5.0,Neutered,Very Active,4.0,8.0,2.0,0.0,20.41,Adult
Yorkshire Terrier,Small,Male,10.0,Neutered,Very Active,3.0,10.0,1.0,1.0,2.94,Senior
Siberian Husky,Medium,Unknown,5.0,Unknown,Low,5.0,11.0,1.0,4.0,22.68,Adult
Poodle,Small,Female,10.0,Unknown,Very Active,3.0,12.0,2.0,2.0,16.78,Senior
Poodle,Small,Female,6.0,Unknown,Very Active,3.0,9.0,2.0,1.0,30.84,Adult
Chihuahua,Small,Female,12.0,Neutered,Low,3.0,10.0,2.0,2.0,1.47,Senior
Labrador Retriever,Large,Male,10.0,Neutered,Unknown,5.0,13.0,2.0,2.0,29.12,Senior
Dachshund,Small,Male,1.0,Neutered,Unknown,2.0,10.0,2.0,1.0,8.36,Puppy
Rottweiler,Large,Male,13.0,Neutered,Moderate,0.0,12.0,2.0,2.0,49.35,Senior
Chihuahua,Small,Male,1.0,Spayed,Moderate,2.0,9.0,2.0,2.0,3.4,Puppy
Labrador Retriever,Large,Male,7.0,Neutered,Low,2.0,12.0,2.0,0.0,28.74,Adult
Bulldog,Medium,Female,11.0,Unknown,Moderate,1.0,10.0,2.0,2.0,19.05,Senior
Siberian Husky,Medium,Female,3.0,Unknown,Unknown,6.0,14.0,2.0,3.0,24.74,Young Adult
Great Dane,Large,Female,3.0,Unknown,Very Active,1.0,9.0,4.0,1.0,51.22,Young Adult
Doberman,Large,Female,2.0,Unknown,Unknown,0.0,14.0,2.0,2.0,28.4,Young Adult
Poodle,Small,Female,2.0,Unknown,Very Active,3.0,12.0,2.0,1.0,24.04,Young Adult
Doberman,Large,Male,6.0,Neutered,Active,3.0,13.0,2.0,1.0,35.83,Adult
Doberman,Large,Male,5.0,Neutered,Active,5.0,12.0,3.0,3.0,27.53,Adult
Golden Retriever,Large,Male,11.0,Spayed,Low,4.0,11.0,2.0,0.0,25.4,Senior
Beagle,Small,Female,7.0,Unknown,Very Active,2.0,12.0,1.0,1.0,13.29,Adult
Boxer,Medium,Male,5.0,Neutered,Unknown,4.0,12.0,0.0,2.0,27.67,Adult
German Shepherd,Large,Male,8.0,Neutered,Very Active,3.0,11.0,1.0,0.0,25.85,Senior
Chihuahua,Small,Unknown,2.0,Unknown,Moderate,1.0,12.0,2.0,1.0,3.06,Young Adult
Australian Shepherd,Medium,Female,10.0,Spayed,Very Active,2.0,11.0,1.0,1.0,29.94,Senior
Golden Retriever,Large,Female,12.0,Spayed,Very Active,2.0,13.0,2.0,4.0,25.72,Senior
Australian Shepherd,Medium,Male,8.0,Spayed,Low,0.0,13.0,3.0,1.0,19.5,Senior
Chihuahua,Small,Female,6.0,Unknown,Very Active,2.0,10.0,0.0,2.0,3.23,Adult
Beagle,Small,Male,3.0,Unknown,Active,5.0,8.0,2.0,3.0,15.88,Young Adult
Rottweiler,Large,Male,2.0,Neutered,Very Active,5.0,9.0,0.0,2.0,53.47,Young Adult
Unknown,Large,Male,2.0,Neutered,Unknown,2.0,11.0,0.0,2.0,35.38,Young Adult
German Shepherd,Large,Female,10.0,Unknown,Unknown,2.0,10.0,2.0,1.0,28.12,Senior
Great Dane,Large,Male,6.0,Spayed,Active,3.0,12.0,2.0,0.0,60.89,Adult
Beagle,Small,Male,8.0,Neutered,Unknown,3.0,12.0,2.0,2.0,13.49,Senior
Doberman,Large,Female,9.0,Neutered,Very Active,2.0,12.0,2.0,3.0,30.84,Senior
Rottweiler,Large,Female,7.0,Neutered,Moderate,3.0,13.0,1.0,1.0,39.19,Adult
Siberian Husky,Medium,Male,7.0,Unknown,Low,2.0,11.0,1.0,3.0,25.97,Adult
German Shepherd,Large,Female,12.0,Spayed,Very Active,2.0,12.0,4.0,1.0,36.61,Senior
Chihuahua,Small,Male,6.0,Unknown,Low,3.0,11.0,3.0,4.0,2.52,Adult
Dachshund,Small,Female,2.0,Unknown,Unknown,3.0,13.0,1.0,3.0,5.91,Young Adult
Great Dane,Large,Male,12.0,Unknown,Unknown,1.0,12.0,1.0,2.0,64.01,Senior
Chihuahua,Unknown,Male,8.0,Neutered,Moderate,5.0,11.0,2.0,1.0,1.39,Senior
Golden Retriever,Large,Male,3.0,Neutered,Very Active,3.0,12.0,2.0,3.0,33.65,Young Adult
Doberman,Large,Female,10.0,Spayed,Active,3.0,10.0,0.0,4.0,38.68,Senior
Great Dane,Large,Male,6.0,Spayed,Low,3.0,12.0,1.0,2.0,55.36,Adult
Dachshund,Small,Male,8.0,Spayed,Active,1.0,12.0,1.0,0.0,4.94,Senior
Unknown,Small,Male,8.0,Neutered,Moderate,4.0,13.0,2.0,1.0,24.49,Senior
Unknown,Small,Male,3.0,Spayed,Very Active,2.0,12.0,1.0,3.0,29.03,Young Adult
Unknown,Large,Female,12.0,Unknown,Moderate,1.0,9.0,1.0,1.0,30.84,Senior
Doberman,Unknown,Male,12.0,Neutered,Very Active,3.0,10.0,2.0,2.0,44.68,Senior
Rottweiler,Large,Male,2.0,Neutered,Low,5.0,12.0,1.0,1.0,53.99,Young Adult
Golden Retriever,Large,Male,13.0,Unknown,Active,1.0,11.0,0.0,4.0,26.31,Senior
Chihuahua,Small,Male,12.0,Unknown,Very Active,2.0,11.0,1.0,1.0,3.46,Senior
Siberian Husky,Medium,Male,9.0,Unknown,Active,6.0,12.0,1.0,0.0,24.03,Senior
Golden Retriever,Unknown,Female,3.0,Unknown,Unknown,3.0,14.0,2.0,1.0,27.32,Young Adult
Great Dane,Large,Male,9.0,Spayed,Very Active,2.0,8.0,1.0,1.0,50.48,Senior
Labrador Retriever,Large,Female,10.0,Unknown,Moderate,2.0,9.0,0.0,2.0,29.48,Senior
Chihuahua,Small,Male,6.0,Spayed,Moderate,5.0,9.0,2.0,3.0,1.49,Adult
Labrador Retriever,Large,Female,11.0,Spayed,Unknown,4.0,8.0,0.0,2.0,29.64,Senior
Siberian Husky,Medium,Male,10.0,Spayed,Very Active,2.0,12.0,1.0,1.0,21.68,Senior
Australian Shepherd,Medium,Unknown,3.0,Neutered,Very Active,2.0,12.0,2.0,2.0,28.03,Young Adult
German Shepherd,Large,Male,12.0,Unknown,Unknown,4.0,12.0,3.0,1.0,24.49,Senior
Chihuahua,Small,Female,10.0,Spayed,Low,0.0,12.0,1.0,1.0,2.82,Senior
Bulldog,Medium,Female,6.0,Neutered,Low,1.0,11.0,2.0,2.0,21.64,Adult
Boxer,Medium,Male,2.0,Neutered,Very Active,3.0,12.0,2.0,0.0,25.85,Young Adult
Dachshund,Small,Female,6.0,Unknown,Moderate,5.0,9.0,2.0,1.0,8.34,Adult
Chihuahua,Small,Female,4.0,Unknown,Moderate,2.0,9.0,1.0,1.0,2.36,Young Adult
Doberman,Large,Male,5.0,Spayed,Moderate,4.0,10.0,2.0,2.0,27.67,Adult
Boxer,Medium,Male,9.0,Neutered,Unknown,1.0,11.0,2.0,2.0,35.78,Senior
Boxer,Unknown,Male,3.0,Spayed,Low,1.0,13.0,1.0,0.0,29.32,Young Adult
German Shepherd,Large,Male,3.0,Neutered,Active,2.0,11.0,3.0,1.0,36.29,Young Adult
Siberian Husky,Medium,Female,10.0,Neutered,Moderate,2.0,10.0,0.0,2.0,22.55,Senior
Beagle,Small,Male,8.0,Spayed,Moderate,2.0,9.0,2.0,0.0,10.37,Senior
Poodle,Small,Male,8.0,Spayed,Active,2.0,13.0,1.0,1.0,23.13,Senior
Bulldog,Medium,Female,13.0,Neutered,Low,5.0,10.0,2.0,2.0,21.32,Senior
Labrador Retriever,Large,Male,9.0,Spayed,Low,2.0,9.0,2.0,0.0,33.49,Senior
Great Dane,Large,Female,7.0,Neutered,Active,1.0,11.0,2.0,3.0,69.81,Adult
Poodle,Small,Female,11.0,Spayed,Moderate,2.0,10.0,2.0,3.0,21.32,Senior
Poodle,Small,Female,4.0,Unknown,Low,1.0,14.0,2.0,2.0,6.86,Young Adult
Siberian Husky,Medium,Female,10.0,Spayed,Active,2.0,12.0,2.0,2.0,20.81,Senior
Great Dane,Large,Male,7.0,Spayed,Very Active,3.0,10.0,3.0,2.0,70.09,Adult
Dachshund,Small,Male,8.0,Neutered,Unknown,2.0,12.0,2.0,4.0,8.62,Senior
Doberman,Large,Male,7.0,Neutered,Very Active,2.0,10.0,1.0,1.0,33.58,Adult
Beagle,Small,Male,3.0,Unknown,Low,2.0,13.0,1.0,2.0,11.34,Young Adult
Chihuahua,Small,Male,9.0,Unknown,Active,5.0,9.0,2.0,2.0,1.43,Senior
Australian Shepherd,Medium,Female,4.0,Spayed,Active,3.0,9.0,1.0,4.0,22.83,Young Adult
Poodle,Small,Male,11.0,Spayed,Active,2.0,11.0,2.0,2.0,29.94,Senior
Golden Retriever,Large,Female,13.0,Neutered,Unknown,0.0,9.0,2.0,0.0,27.14,Senior
Doberman,Large,Male,5.0,Neutered,Moderate,4.0,13.0,2.0,3.0,27.67,Adult
Golden Retriever,Large,Female,12.0,Neutered,Very Active,1.0,11.0,1.0,2.0,31.71,Senior
Bulldog,Medium,Female,10.0,Neutered,Active,1.0,12.0,2.0,1.0,20.48,Senior
Bulldog,Medium,Unknown,9.0,Spayed,Low,0.0,14.0,1.0,0.0,24.95,Senior
Labrador Retriever,Large,Male,4.0,Neutered,Low,2.0,11.0,1.0,1.0,27.88,Young Adult
Bulldog,Medium,Male,1.0,Spayed,Very Active,2.0,12.0,0.0,3.0,19.05,Puppy
Golden Retriever,Large,Male,8.0,Spayed,Very Active,2.0,9.0,1.0,2.0,27.01,Senior
Yorkshire Terrier,Small,Male,8.0,Neutered,Moderate,3.0,10.0,1.0,1.0,2.48,Senior
Poodle,Small,Female,7.0,Spayed,Active,2.0,10.0,4.0,4.0,6.13,Adult
Labrador Retriever,Large,Female,9.0,Spayed,Very Active,3.0,11.0,1.0,1.0,27.97,Senior
Rottweiler,Large,Female,8.0,Unknown,Very Active,0.0,12.0,3.0,0.0,52.62,Senior
Dachshund,Small,Female,1.0,Spayed,Low,4.0,8.0,1.0,1.0,5.26,Puppy
Poodle,Small,Female,4.0,Neutered,Low,3.0,10.0,2.0,2.0,27.67,Young Adult
Beagle,Small,Male,5.0,Spayed,Active,2.0,11.0,1.0,0.0,14.62,Adult
Dachshund,Small,Male,10.0,Spayed,Active,2.0,10.0,4.0,2.0,6.3,Senior
Labrador Retriever,Large,Female,7.0,Spayed,Unknown,4.0,8.0,2.0,2.0,26.76,Adult
Boxer,Medium,Male,6.0,Unknown,Unknown,2.0,11.0,3.0,2.0,26.84,Adult
Boxer,Medium,Female,3.0,Unknown,Unknown,3.0,11.0,2.0,4.0,33.57,Young Adult
Australian Shepherd,Medium,Male,10.0,Neutered,Unknown,4.0,12.0,2.0,2.0,30.39,Senior
Labrador Retriever,Large,Female,6.0,Spayed,Unknown,4.0,13.0,3.0,0.0,25.15,Adult
