Breed,Breed Size,Sex,Age,Weight (lbs),Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits
Great Dane,Large,Male,5.0,52.0,Very Active,3.0,12.0,1.0,0.0
Great Dane,Large,Female,12.0,45.0,Very Active,4.0,12.0,0.0,1.0
German Shepherd,Large,Male,8.0,50.0,Very Active,3.0,11.0,2.0,4.0
Doberman,Large,Male,13.0,36.0,Active,1.0,12.0,3.0,1.0
Golden Retriever,Large,Female,6.0,66.0,Active,4.0,12.0,3.0,1.0
Labrador Retriever,Large,Female,2.0,45.0,Active,3.0,10.0,2.0,1.0
Golden Retriever,Large,Male,9.0,49.0,Active,3.0,10.0,2.0,1.0
Great Dane,Large,Male,13.0,50.0,Active,3.0,9.0,2.0,2.0
Golden Retriever,Large,Female,5.0,42.0,Active,1.0,10.0,2.0,1.0
Doberman,Large,Female,10.0,36.0,Active,3.0,11.0,2.0,1.0
Great Dane,Large,Female,8.0,32.0,Very Active,2.0,10.0,1.0,0.0
Yorkshire Terrier,Large,Male,8.0,25.0,Active,3.0,10.0,2.0,2.0
Golden Retriever,Large,Male,3.0,79.0,Active,2.0,11.0,0.0,1.0
Rottweiler,Large,Male,4.0,48.0,Very Active,5.0,11.0,0.0,0.0
Great Dane,Large,Male,3.0,48.0,Moderate,1.0,10.0,2.0,1.0
Doberman,Large,Male,9.0,36.0,Active,3.0,12.0,1.0,2.0
German Shepherd,Large,Female,1.0,46.0,Active,2.0,12.0,0.0,1.0
Great Dane,Large,Female,4.0,57.0,Very Active,5.0,11.0,1.0,0.0
Golden Retriever,Large,Female,3.0,57.0,Active,0.0,12.0,0.0,0.0
Chihuahua,Large,Male,7.0,53.0,Very Active,1.0,12.0,1.0,1.0
Doberman,Large,Female,5.0,41.0,Low,3.0,12.0,3.0,0.0
Great Dane,Large,Female,2.0,55.0,Active,2.0,9.0,2.0,0.0
Golden Retriever,Large,Female,8.0,76.0,Moderate,3.0,11.0,3.0,3.0
Doberman,Large,Female,3.0,41.0,Active,4.0,9.0,3.0,2.0
Australian Shepherd,Large,Female,5.0,53.0,Moderate,3.0,12.0,1.0,1.0
German Shepherd,Large,Female,7.0,20.0,Very Active,1.0,11.0,2.0,0.0
Labrador Retriever,Large,Male,5.0,45.0,Moderate,1.0,11.0,0.0,1.0
Rottweiler,Large,Male,4.0,56.0,Low,0.0,11.0,2.0,3.0
Chihuahua,Large,Male,5.0,42.0,Low,2.0,11.0,3.0,1.0
Doberman,Large,Female,7.0,47.0,Low,4.0,11.0,2.0,0.0
Doberman,Large,Female,8.0,55.0,Active,4.0,8.0,2.0,2.0
Poodle,Large,Male,7.0,44.0,Active,3.0,12.0,1.0,3.0
Labrador Retriever,Large,Female,12.0,36.0,Active,4.0,12.0,3.0,2.0
Rottweiler,Large,Male,8.0,43.0,Active,4.0,9.0,3.0,2.0
Doberman,Large,Female,3.0,51.0,Low,0.0,12.0,1.0,1.0
Labrador Retriever,Large,Male,2.0,55.0,Active,4.0,11.0,0.0,1.0
Great Dane,Large,Female,9.0,66.0,Active,2.0,12.0,0.0,2.0
German Shepherd,Large,Female,6.0,59.0,Active,1.0,12.0,1.0,4.0
Poodle,Large,Male,9.0,52.0,Moderate,2.0,11.0,2.0,1.0
Golden Retriever,Large,Female,3.0,56.0,Active,0.0,8.0,1.0,3.0
Golden Retriever,Large,Female,1.0,64.0,Very Active,1.0,12.0,1.0,2.0
Siberian Husky,Large,Male,13.0,58.0,Active,3.0,11.0,2.0,1.0
Golden Retriever,Large,Female,4.0,43.0,Low,4.0,13.0,2.0,2.0
Doberman,Large,Female,6.0,55.0,Moderate,3.0,10.0,1.0,2.0
Doberman,Large,Male,6.0,71.0,Very Active,2.0,10.0,1.0,0.0
Labrador Retriever,Large,Female,2.0,50.0,Low,0.0,10.0,1.0,2.0
German Shepherd,Large,Male,11.0,66.0,Active,3.0,10.0,2.0,2.0
Great Dane,Large,Female,13.0,42.0,Active,2.0,11.0,1.0,3.0
Labrador Retriever,Large,Female,5.0,61.0,Moderate,5.0,9.0,4.0,2.0
Golden Retriever,Large,Female,13.0,66.0,Moderate,4.0,11.0,1.0,1.0
Doberman,Large,Female,13.0,55.0,Very Active,4.0,11.0,0.0,1.0
Labrador Retriever,Large,Female,8.0,50.0,Moderate,1.0,11.0,0.0,2.0
Great Dane,Large,Female,13.0,48.0,Active,1.0,9.0,3.0,0.0
Rottweiler,Large,Male,1.0,45.0,Very Active,6.0,12.0,3.0,4.0
Labrador Retriever,Large,Male,11.0,54.0,Active,4.0,12.0,2.0,1.0
Golden Retriever,Large,Male,6.0,35.0,Low,2.0,13.0,0.0,1.0
Golden Retriever,Large,Male,8.0,47.0,Active,0.0,12.0,3.0,2.0
Labrador Retriever,Large,Male,2.0,52.0,Active,0.0,13.0,1.0,3.0
German Shepherd,Large,Male,3.0,61.0,Active,4.0,10.0,2.0,0.0
Doberman,Large,Male,12.0,50.0,Moderate,2.0,12.0,0.0,2.0
Doberman,Large,Female,4.0,43.0,Moderate,2.0,14.0,1.0,2.0
German Shepherd,Large,Male,4.0,49.0,Active,0.0,13.0,2.0,2.0
Golden Retriever,Large,Male,1.0,34.0,Active,1.0,8.0,3.0,3.0
Great Dane,Large,Male,11.0,38.0,Low,2.0,11.0,0.0,1.0
Siberian Husky,Large,Male,5.0,44.0,Very Active,3.0,9.0,1.0,2.0
Labrador Retriever,Large,Male,11.0,46.0,Low,2.0,13.0,3.0,2.0
Australian Shepherd,Large,Female,11.0,50.0,Low,5.0,10.0,1.0,1.0
German Shepherd,Large,Female,11.0,50.0,Very Active,5.0,11.0,0.0,0.0
Australian Shepherd,Large,Male,10.0,44.0,Active,3.0,10.0,2.0,0.0
German Shepherd,Large,Female,4.0,34.0,Moderate,4.0,10.0,1.0,0.0
Labrador Retriever,Large,Male,6.0,66.0,Moderate,2.0,9.0,1.0,4.0
Golden Retriever,Large,Male,8.0,74.0,Moderate,5.0,13.0,0.0,1.0
German Shepherd,Large,Male,6.0,37.0,Active,3.0,11.0,2.0,0.0
Golden Retriever,Large,Male,6.0,59.0,Very Active,2.0,9.0,1.0,0.0
Labrador Retriever,Large,Male,6.0,49.0,Low,3.0,12.0,2.0,2.0
Great Dane,Large,Male,5.0,19.0,Low,1.0,8.0,0.0,1.0
Rottweiler,Large,Female,6.0,65.0,Low,2.0,11.0,2.0,2.0
Great Dane,Large,Male,11.0,58.0,Very Active,6.0,13.0,2.0,1.0
German Shepherd,Large,Female,5.0,46.0,Active,1.0,12.0,1.0,4.0
Doberman,Large,Male,13.0,61.0,Very Active,3.0,9.0,2.0,4.0
Doberman,Large,Female,8.0,35.0,Low,2.0,10.0,4.0,0.0
Doberman,Large,Male,5.0,64.0,Low,0.0,11.0,0.0,0.0
Golden Retriever,Large,Female,11.0,63.0,Active,4.0,11.0,3.0,2.0
Rottweiler,Large,Male,13.0,29.0,Moderate,3.0,12.0,2.0,1.0
Rottweiler,Large,Female,12.0,36.0,Moderate,4.0,12.0,0.0,2.0
German Shepherd,Large,Female,8.0,66.0,Active,4.0,12.0,0.0,2.0
German Shepherd,Large,Female,4.0,48.0,Low,3.0,11.0,1.0,2.0
German Shepherd,Large,Female,7.0,21.0,Active,1.0,10.0,2.0,2.0
Rottweiler,Large,Female,6.0,28.0,Active,3.0,12.0,1.0,2.0
Golden Retriever,Large,Male,1.0,44.0,Active,3.0,11.0,2.0,1.0
Rottweiler,Large,Female,9.0,59.0,Active,3.0,9.0,2.0,3.0
Rottweiler,Large,Male,7.0,29.0,Low,2.0,10.0,2.0,1.0
Golden Retriever,Large,Female,9.0,21.0,Active,2.0,11.0,1.0,4.0
Doberman,Large,Male,2.0,78.0,Very Active,2.0,9.0,2.0,2.0
Great Dane,Large,Male,1.0,46.0,Very Active,1.0,11.0,1.0,3.0
Golden Retriever,Large,Female,5.0,56.0,Active,3.0,11.0,2.0,3.0
German Shepherd,Large,Male,11.0,47.0,Low,1.0,11.0,3.0,0.0
Doberman,Large,Female,13.0,61.0,Low,3.0,12.0,0.0,1.0
Golden Retriever,Large,Female,13.0,39.0,Active,3.0,14.0,0.0,2.0
Labrador Retriever,Large,Male,10.0,43.0,Active,3.0,10.0,1.0,1.0
Rottweiler,Large,Male,6.0,65.0,Very Active,1.0,11.0,2.0,2.0
Doberman,Large,Female,10.0,44.0,Active,7.0,11.0,1.0,1.0
German Shepherd,Large,Male,10.0,46.0,Active,3.0,12.0,0.0,1.0
Rottweiler,Large,Female,3.0,51.0,Low,1.0,11.0,0.0,1.0
Rottweiler,Large,Male,10.0,63.0,Active,1.0,11.0,2.0,1.0
Rottweiler,Large,Male,8.0,74.0,Active,2.0,10.0,0.0,3.0
Australian Shepherd,Large,Male,6.0,65.0,Active,3.0,14.0,3.0,1.0
Doberman,Large,Male,11.0,62.0,Moderate,3.0,10.0,4.0,1.0
German Shepherd,Large,Male,2.0,51.0,Active,4.0,13.0,2.0,2.0
German Shepherd,Large,Female,5.0,50.0,Moderate,5.0,13.0,0.0,2.0
Chihuahua,Large,Female,6.0,50.0,Moderate,4.0,8.0,2.0,1.0
German Shepherd,Large,Male,13.0,45.0,Low,3.0,12.0,2.0,2.0
German Shepherd,Large,Male,10.0,40.0,Active,5.0,11.0,2.0,1.0
Rottweiler,Large,Female,3.0,50.0,Low,3.0,8.0,1.0,3.0
Dachshund,Large,Male,6.0,47.0,Moderate,1.0,11.0,1.0,0.0
Labrador Retriever,Large,Male,2.0,67.0,Moderate,4.0,12.0,0.0,3.0
Labrador Retriever,Large,Male,9.0,68.0,Very Active,1.0,14.0,1.0,2.0
Doberman,Large,Male,8.0,52.0,Low,3.0,14.0,1.0,0.0
Great Dane,Large,Male,3.0,51.0,Active,3.0,11.0,2.0,2.0
Golden Retriever,Large,Male,3.0,36.0,Moderate,3.0,13.0,2.0,3.0
German Shepherd,Large,Female,7.0,48.0,Very Active,2.0,11.0,1.0,1.0
German Shepherd,Large,Female,9.0,31.0,Very Active,3.0,12.0,1.0,1.0
Chihuahua,Large,Female,4.0,45.0,Moderate,3.0,12.0,0.0,2.0
Doberman,Large,Male,6.0,46.0,Active,2.0,13.0,2.0,2.0
Doberman,Large,Female,6.0,52.0,Active,0.0,11.0,0.0,1.0
Great Dane,Large,Female,4.0,64.0,Low,1.0,10.0,2.0,3.0
Golden Retriever,Large,Male,7.0,55.0,Active,2.0,13.0,0.0,0.0
Rottweiler,Large,Female,13.0,48.0,Very Active,0.0,12.0,2.0,2.0
Golden Retriever,Large,Female,8.0,32.0,Active,5.0,11.0,2.0,2.0
Rottweiler,Large,Male,6.0,52.0,Very Active,3.0,13.0,0.0,4.0
Great Dane,Large,Female,5.0,50.0,Moderate,1.0,10.0,0.0,2.0
Doberman,Large,Male,13.0,55.0,Active,2.0,12.0,1.0,3.0
Golden Retriever,Large,Female,8.0,30.0,Very Active,3.0,11.0,2.0,1.0
German Shepherd,Large,Female,1.0,51.0,Very Active,3.0,11.0,0.0,1.0
Great Dane,Large,Male,6.0,41.0,Active,1.0,12.0,0.0,3.0
Doberman,Large,Female,1.0,36.0,Moderate,4.0,11.0,2.0,3.0
Great Dane,Large,Female,6.0,45.0,Active,3.0,9.0,0.0,1.0
Chihuahua,Large,Female,4.0,44.0,Active,3.0,11.0,0.0,2.0
Australian Shepherd,Large,Male,3.0,53.0,Moderate,4.0,14.0,1.0,2.0
Rottweiler,Large,Male,6.0,57.0,Low,1.0,12.0,1.0,0.0
Doberman,Large,Female,5.0,46.0,Low,1.0,11.0,3.0,2.0
Great Dane,Large,Male,6.0,84.0,Low,3.0,12.0,2.0,2.0
Rottweiler,Large,Male,4.0,50.0,Active,4.0,12.0,2.0,1.0
Rottweiler,Large,Male,6.0,57.0,Very Active,4.0,12.0,2.0,2.0
Rottweiler,Large,Male,3.0,48.0,Active,2.0,11.0,3.0,1.0
Golden Retriever,Large,Female,3.0,42.0,Low,0.0,12.0,2.0,3.0
Great Dane,Large,Male,13.0,78.0,Moderate,2.0,11.0,1.0,2.0
Great Dane,Large,Female,5.0,74.0,Very Active,3.0,10.0,2.0,2.0
Labrador Retriever,Large,Male,3.0,60.0,Moderate,3.0,10.0,2.0,2.0
Labrador Retriever,Large,Male,5.0,67.0,Active,1.0,11.0,2.0,0.0
Doberman,Large,Female,6.0,51.0,Very Active,5.0,11.0,2.0,3.0
Labrador Retriever,Large,Male,6.0,52.0,Low,0.0,13.0,0.0,4.0
Labrador Retriever,Large,Female,4.0,44.0,Low,1.0,11.0,1.0,2.0
Great Dane,Large,Female,2.0,31.0,Moderate,2.0,13.0,2.0,2.0
German Shepherd,Large,Male,11.0,32.0,Active,1.0,12.0,3.0,3.0
Golden Retriever,Large,Male,11.0,48.0,Active,2.0,11.0,2.0,1.0
Labrador Retriever,Large,Male,7.0,61.0,Active,3.0,9.0,1.0,2.0
German Shepherd,Large,Female,6.0,60.0,Active,3.0,9.0,4.0,2.0
Great Dane,Large,Female,3.0,49.0,Moderate,2.0,12.0,2.0,2.0
Great Dane,Large,Male,2.0,40.0,Low,1.0,10.0,3.0,3.0
Great Dane,Large,Female,8.0,62.0,Low,1.0,13.0,2.0,3.0
German Shepherd,Large,Female,7.0,53.0,Moderate,4.0,11.0,1.0,0.0
Doberman,Large,Female,11.0,43.0,Active,3.0,12.0,1.0,2.0
Rottweiler,Large,Male,12.0,36.0,Moderate,1.0,12.0,1.0,1.0
Australian Shepherd,Large,Female,11.0,44.0,Moderate,4.0,12.0,3.0,4.0
Labrador Retriever,Large,Female,3.0,28.0,Active,2.0,11.0,2.0,3.0
Great Dane,Large,Female,9.0,50.0,Very Active,3.0,8.0,2.0,0.0
German Shepherd,Large,Male,3.0,52.0,Active,3.0,11.0,1.0,4.0
Rottweiler,Large,Male,6.0,25.0,Active,3.0,13.0,2.0,1.0
Rottweiler,Large,Male,12.0,62.0,Active,2.0,11.0,1.0,2.0
Rottweiler,Large,Male,7.0,34.0,Very Active,1.0,8.0,1.0,0.0
Golden Retriever,Large,Male,2.0,65.0,Very Active,3.0,10.0,2.0,1.0
German Shepherd,Large,Female,7.0,37.0,Moderate,3.0,10.0,1.0,2.0
Great Dane,Large,Female,4.0,67.0,Moderate,1.0,12.0,0.0,1.0
Great Dane,Large,Female,5.0,49.0,Low,3.0,11.0,0.0,1.0
Labrador Retriever,Large,Female,3.0,44.0,Very Active,4.0,9.0,1.0,3.0
Golden Retriever,Large,Female,6.0,32.0,Active,1.0,11.0,1.0,1.0
German Shepherd,Large,Female,10.0,58.0,Active,1.0,13.0,1.0,1.0
Labrador Retriever,Large,Male,8.0,18.0,Active,5.0,12.0,2.0,2.0
Great Dane,Large,Male,8.0,32.0,Moderate,4.0,9.0,1.0,2.0
Doberman,Large,Female,10.0,56.0,Very Active,4.0,9.0,3.0,0.0
German Shepherd,Large,Male,9.0,71.0,Low,2.0,11.0,2.0,1.0
German Shepherd,Large,Male,10.0,54.0,Low,3.0,8.0,2.0,0.0
Doberman,Large,Female,3.0,48.0,Very Active,1.0,10.0,4.0,2.0
Doberman,Large,Female,10.0,48.0,Very Active,2.0,10.0,2.0,1.0
German Shepherd,Large,Female,3.0,34.0,Low,0.0,12.0,1.0,1.0
Great Dane,Large,Male,2.0,38.0,Active,2.0,11.0,0.0,1.0
Doberman,Large,Male,4.0,86.0,Low,2.0,11.0,2.0,1.0
Doberman,Large,Female,12.0,66.0,Moderate,2.0,12.0,1.0,3.0
Great Dane,Large,Male,3.0,42.0,Moderate,1.0,11.0,2.0,1.0
Australian Shepherd,Large,Male,1.0,41.0,Active,3.0,8.0,1.0,0.0
Labrador Retriever,Large,Female,6.0,40.0,Very Active,5.0,14.0,0.0,3.0
Doberman,Large,Male,8.0,52.0,Moderate,1.0,10.0,1.0,0.0
Doberman,Large,Male,3.0,41.0,Very Active,2.0,13.0,1.0,4.0
German Shepherd,Large,Female,6.0,78.0,Active,2.0,9.0,4.0,1.0
Golden Retriever,Large,Male,1.0,57.0,Moderate,3.0,12.0,2.0,3.0
Golden Retriever,Large,Male,3.0,47.0,Active,1.0,10.0,0.0,2.0
Doberman,Large,Female,6.0,40.0,Active,2.0,11.0,2.0,1.0
Great Dane,Large,Female,5.0,76.0,Moderate,3.0,11.0,2.0,2.0
Chihuahua,Large,Male,11.0,64.0,Very Active,2.0,13.0,2.0,0.0
Golden Retriever,Large,Male,6.0,54.0,Low,3.0,11.0,2.0,2.0
German Shepherd,Large,Male,1.0,54.0,Active,1.0,12.0,0.0,2.0
Australian Shepherd,Large,Male,2.0,84.0,Active,0.0,11.0,0.0,2.0
Australian Shepherd,Large,Male,7.0,47.0,Moderate,2.0,11.0,2.0,4.0
Rottweiler,Large,Female,8.0,64.0,Very Active,4.0,10.0,2.0,0.0
Great Dane,Large,Male,6.0,72.0,Very Active,3.0,13.0,1.0,1.0
German Shepherd,Large,Male,10.0,50.0,Very Active,5.0,10.0,2.0,2.0
Rottweiler,Large,Male,8.0,59.0,Low,3.0,10.0,1.0,3.0
Australian Shepherd,Large,Male,12.0,34.0,Active,2.0,12.0,1.0,1.0
German Shepherd,Large,Female,6.0,44.0,Active,3.0,9.0,2.0,0.0
Rottweiler,Large,Male,10.0,42.0,Moderate,1.0,12.0,1.0,4.0
Golden Retriever,Large,Female,3.0,62.0,Very Active,3.0,11.0,2.0,3.0
Doberman,Large,Male,5.0,50.0,Very Active,5.0,12.0,2.0,1.0
Chihuahua,Large,Male,5.0,60.0,Moderate,1.0,9.0,1.0,1.0
Labrador Retriever,Large,Male,7.0,54.0,Active,3.0,13.0,3.0,4.0
Doberman,Large,Female,9.0,31.0,Active,3.0,8.0,1.0,1.0
Rottweiler,Large,Female,10.0,59.0,Active,0.0,10.0,1.0,4.0
Rottweiler,Large,Male,3.0,32.0,Active,2.0,11.0,0.0,2.0
Doberman,Large,Female,11.0,35.0,Moderate,3.0,10.0,2.0,1.0
Golden Retriever,Large,Male,13.0,65.0,Moderate,3.0,14.0,3.0,2.0
Golden Retriever,Large,Female,12.0,50.0,Very Active,1.0,10.0,1.0,1.0
German Shepherd,Large,Male,6.0,60.0,Moderate,1.0,10.0,1.0,3.0
Golden Retriever,Large,Male,5.0,41.0,Moderate,1.0,13.0,1.0,2.0
Rottweiler,Large,Female,4.0,33.0,Active,4.0,12.0,1.0,1.0
German Shepherd,Large,Male,5.0,26.0,Moderate,2.0,10.0,0.0,1.0
Golden Retriever,Large,Female,9.0,79.0,Active,0.0,11.0,2.0,2.0
Doberman,Large,Female,3.0,62.0,Low,2.0,13.0,1.0,3.0
Australian Shepherd,Large,Male,7.0,61.0,Very Active,2.0,11.0,2.0,1.0
Rottweiler,Large,Male,1.0,55.0,Very Active,4.0,10.0,4.0,0.0
Doberman,Large,Female,7.0,73.0,Active,2.0,10.0,3.0,2.0
Great Dane,Large,Female,13.0,66.0,Very Active,2.0,12.0,1.0,1.0
Labrador Retriever,Large,Female,5.0,35.0,Active,2.0,10.0,1.0,0.0
Great Dane,Large,Male,1.0,78.0,Moderate,5.0,11.0,0.0,1.0
Great Dane,Large,Female,1.0,47.0,Low,3.0,10.0,1.0,2.0
Rottweiler,Large,Male,10.0,60.0,Active,2.0,10.0,1.0,2.0
Rottweiler,Large,Male,7.0,37.0,Very Active,2.0,12.0,2.0,1.0
Labrador Retriever,Large,Female,6.0,51.0,Active,4.0,11.0,2.0,2.0
Great Dane,Large,Male,2.0,86.0,Active,3.0,9.0,3.0,2.0
Rottweiler,Large,Female,6.0,26.0,Low,1.0,12.0,1.0,2.0
Doberman,Large,Female,8.0,64.0,Active,2.0,11.0,0.0,1.0
Doberman,Large,Female,3.0,69.0,Moderate,3.0,10.0,2.0,1.0
Great Dane,Large,Male,4.0,59.0,Moderate,0.0,12.0,1.0,1.0
German Shepherd,Large,Female,6.0,55.0,Active,4.0,11.0,2.0,1.0
German Shepherd,Large,Male,10.0,50.0,Active,3.0,12.0,1.0,3.0
Great Dane,Large,Female,12.0,28.0,Moderate,2.0,9.0,3.0,1.0
German Shepherd,Large,Male,7.0,48.0,Active,3.0,14.0,1.0,1.0
Golden Retriever,Large,Female,6.0,40.0,Active,1.0,11.0,2.0,1.0
Great Dane,Large,Male,2.0,46.0,Very Active,1.0,13.0,2.0,1.0
Rottweiler,Large,Male,10.0,48.0,Active,4.0,12.0,2.0,2.0
Labrador Retriever,Large,Female,4.0,47.0,Active,0.0,10.0,1.0,1.0
Golden Retriever,Large,Female,13.0,62.0,Active,2.0,11.0,0.0,0.0
Rottweiler,Large,Male,5.0,53.0,Very Active,4.0,9.0,0.0,1.0
Doberman,Large,Male,7.0,59.0,Moderate,3.0,10.0,0.0,0.0
Doberman,Large,Female,9.0,50.0,Low,0.0,12.0,2.0,1.0
Labrador Retriever,Large,Female,5.0,68.0,Low,2.0,11.0,1.0,1.0
Golden Retriever,Large,Male,7.0,76.0,Active,4.0,10.0,3.0,0.0
Golden Retriever,Large,Female,10.0,39.0,Active,3.0,13.0,1.0,3.0
German Shepherd,Large,Male,3.0,68.0,Moderate,5.0,11.0,2.0,3.0
German Shepherd,Large,Female,10.0,56.0,Very Active,1.0,12.0,0.0,1.0
Rottweiler,Large,Female,3.0,50.0,Very Active,2.0,13.0,1.0,2.0
Great Dane,Large,Male,9.0,67.0,Active,3.0,12.0,0.0,0.0
Doberman,Large,Female,11.0,45.0,Very Active,1.0,14.0,2.0,1.0
Rottweiler,Large,Male,5.0,41.0,Low,2.0,11.0,2.0,0.0
Labrador Retriever,Large,Male,5.0,39.0,Very Active,3.0,10.0,2.0,0.0
German Shepherd,Large,Female,5.0,50.0,Low,4.0,11.0,1.0,2.0
Great Dane,Large,Female,6.0,54.0,Very Active,2.0,13.0,3.0,3.0
Great Dane,Large,Female,8.0,64.0,Active,1.0,11.0,2.0,4.0
Golden Retriever,Large,Male,5.0,28.0,Low,0.0,13.0,1.0,0.0
Great Dane,Large,Female,11.0,42.0,Active,2.0,10.0,2.0,1.0
Labrador Retriever,Large,Female,7.0,63.0,Moderate,1.0,9.0,1.0,2.0
Golden Retriever,Large,Female,12.0,57.0,Very Active,0.0,9.0,0.0,0.0
German Shepherd,Large,Female,5.0,57.0,Moderate,1.0,11.0,0.0,3.0
Golden Retriever,Large,Male,12.0,68.0,Very Active,4.0,13.0,1.0,1.0
Labrador Retriever,Large,Female,12.0,68.0,Low,2.0,12.0,1.0,4.0
Labrador Retriever,Large,Male,10.0,41.0,Active,5.0,13.0,2.0,2.0
Rottweiler,Large,Male,13.0,44.0,Moderate,0.0,12.0,2.0,2.0
Labrador Retriever,Large,Male,7.0,48.0,Low,2.0,12.0,2.0,0.0
Great Dane,Large,Female,3.0,73.0,Very Active,1.0,9.0,4.0,1.0
Doberman,Large,Female,2.0,56.0,Active,0.0,14.0,2.0,2.0
Doberman,Large,Male,6.0,79.0,Active,3.0,13.0,2.0,1.0
Doberman,Large,Male,5.0,33.0,Active,5.0,12.0,3.0,3.0
Golden Retriever,Large,Male,11.0,56.0,Low,4.0,11.0,2.0,0.0
German Shepherd,Large,Male,8.0,57.0,Very Active,3.0,11.0,1.0,0.0
Golden Retriever,Large,Female,12.0,32.0,Very Active,2.0,13.0,2.0,4.0
Australian Shepherd,Large,Male,2.0,78.0,Active,2.0,11.0,0.0,2.0
German Shepherd,Large,Female,10.0,62.0,Active,2.0,10.0,2.0,1.0
Great Dane,Large,Male,6.0,30.0,Active,3.0,12.0,2.0,0.0
Doberman,Large,Female,9.0,68.0,Very Active,2.0,12.0,2.0,3.0
Rottweiler,Large,Female,7.0,41.0,Moderate,3.0,13.0,1.0,1.0
German Shepherd,Large,Female,12.0,39.0,Very Active,2.0,12.0,4.0,1.0
Great Dane,Large,Male,12.0,36.0,Active,1.0,12.0,1.0,2.0
Chihuahua,Large,Male,8.0,58.0,Moderate,5.0,11.0,2.0,1.0
Golden Retriever,Large,Male,3.0,78.0,Very Active,3.0,12.0,2.0,3.0
Doberman,Large,Female,10.0,32.0,Active,3.0,10.0,0.0,4.0
Great Dane,Large,Male,6.0,67.0,Low,3.0,12.0,1.0,2.0
Australian Shepherd,Large,Female,12.0,68.0,Moderate,1.0,9.0,1.0,1.0
Doberman,Large,Male,12.0,51.0,Very Active,3.0,10.0,2.0,2.0
Rottweiler,Large,Male,2.0,68.0,Low,5.0,12.0,1.0,1.0
Golden Retriever,Large,Male,13.0,58.0,Active,1.0,11.0,0.0,4.0
Golden Retriever,Large,Female,3.0,38.0,Active,3.0,14.0,2.0,1.0
Great Dane,Large,Male,9.0,43.0,Very Active,2.0,8.0,1.0,1.0
Labrador Retriever,Large,Female,10.0,65.0,Moderate,2.0,9.0,0.0,2.0
Labrador Retriever,Large,Female,11.0,27.0,Active,4.0,8.0,0.0,2.0
German Shepherd,Large,Male,12.0,54.0,Active,4.0,12.0,3.0,1.0
Doberman,Large,Male,5.0,61.0,Moderate,4.0,10.0,2.0,2.0
Boxer,Large,Male,3.0,51.0,Low,1.0,13.0,1.0,0.0
German Shepherd,Large,Male,3.0,80.0,Active,2.0,11.0,3.0,1.0
Labrador Retriever,Large,Male,9.0,38.0,Low,2.0,9.0,2.0,0.0
Great Dane,Large,Female,7.0,57.0,Active,1.0,11.0,2.0,3.0
Great Dane,Large,Male,7.0,55.0,Very Active,3.0,10.0,3.0,2.0
Doberman,Large,Male,7.0,54.0,Very Active,2.0,10.0,1.0,1.0
Golden Retriever,Large,Female,13.0,36.0,Active,0.0,9.0,2.0,0.0
Doberman,Large,Male,5.0,61.0,Moderate,4.0,13.0,2.0,3.0
Golden Retriever,Large,Female,12.0,53.0,Very Active,1.0,11.0,1.0,2.0
Labrador Retriever,Large,Male,4.0,33.0,Low,2.0,11.0,1.0,1.0
Golden Retriever,Large,Male,8.0,50.0,Very Active,2.0,9.0,1.0,2.0
Labrador Retriever,Large,Female,9.0,34.0,Very Active,3.0,11.0,1.0,1.0
Rottweiler,Large,Female,8.0,58.0,Very Active,0.0,12.0,3.0,0.0
Labrador Retriever,Large,Female,7.0,59.0,Active,4.0,8.0,2.0,2.0
Labrador Retriever,Large,Female,6.0,25.0,Active,4.0,13.0,3.0,0.0
Doberman,Large,Female,10.0,39.0,Active,1.0,10.0,3.0,4.0
Golden Retriever,Large,Male,6.0,58.0,Low,3.0,10.0,2.0,3.0
Doberman,Large,Female,5.0,49.0,Active,4.0,10.0,1.0,3.0
Rottweiler,Large,Male,4.0,26.0,Moderate,1.0,8.0,1.0,1.0
Australian Shepherd,Large,Female,7.0,32.0,Moderate,2.0,13.0,2.0,3.0
German Shepherd,Large,Male,3.0,67.0,Low,6.0,9.0,1.0,0.0
German Shepherd,Large,Male,3.0,41.0,Active,0.0,12.0,2.0,1.0
Labrador Retriever,Large,Male,12.0,65.0,Very Active,0.0,11.0,1.0,4.0
Doberman,Large,Male,12.0,54.0,Very Active,1.0,13.0,0.0,0.0
Great Dane,Large,Female,1.0,52.0,Active,2.0,11.0,4.0,1.0
Labrador Retriever,Large,Male,11.0,52.0,Very Active,6.0,8.0,0.0,4.0
Rottweiler,Large,Male,13.0,40.0,Active,3.0,13.0,1.0,2.0
Doberman,Large,Male,11.0,52.0,Moderate,4.0,12.0,0.0,2.0
Great Dane,Large,Male,3.0,73.0,Low,2.0,10.0,2.0,2.0
German Shepherd,Large,Female,11.0,66.0,Low,2.0,14.0,2.0,0.0
Golden Retriever,Large,Female,3.0,44.0,Moderate,6.0,11.0,1.0,1.0
Rottweiler,Large,Female,6.0,61.0,Very Active,2.0,11.0,2.0,3.0
Rottweiler,Large,Female,4.0,58.0,Low,2.0,12.0,3.0,2.0
Golden Retriever,Large,Female,10.0,56.0,Active,2.0,12.0,1.0,3.0
German Shepherd,Large,Male,3.0,44.0,Active,3.0,14.0,2.0,1.0
