Breed,Sex,Age,animalWeight_kg,animalSize,Daily Activity Level,Diet,Food Brand,daily_walk_km,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,RER_kcal,Healthy
Rottweiler,Male,4.0,23.59,Medium,Active,Hard food,Royal Canin,0.0,No,No,11.0,3.0,Active,2.0,749.28,Yes
Rottweiler,Female,10.0,28.12,Large,Active,Wet food,Royal Canin,1.61,No,No,11.0,0.0,Active,2.0,854.79,Yes
Mixed/SRD,Female,13.0,21.32,Medium,Low,Wet food,Iams,6.44,Yes,No,14.0,2.0,Low,1.0,694.53,No
Great Dane,Male,9.0,22.23,Medium,Active,Wet food,Royal Canin,3.22,No,No,12.0,2.0,Low,3.0,716.64,No
German Shepherd,Male,3.0,22.23,Medium,Active,Hard food,Nutro,6.44,Yes,No,10.0,2.0,Very Active,2.0,716.64,No
Beagle,Female,7.0,15.88,Medium,Very Active,Hard food,Iams,3.22,No,No,12.0,1.0,Very Active,2.0,556.85,Yes
Doberman,Male,13.0,9.98,Small,Moderate,Wet food,Purina,6.44,Yes,No,9.0,1.0,Very Active,1.0,393.05,No
Great Dane,Male,11.0,23.59,Medium,Low,Hard food,Hill's Science,4.83,No,No,10.0,2.0,Very Active,4.0,749.28,Yes
Bulldog,Female,7.0,28.12,Large,Very Active,Wet food,Wellness,6.44,Yes,No,9.0,2.0,Active,2.0,854.79,Yes
Poodle,Female,7.0,16.33,Medium,Active,Wet food,Pedigree,3.22,No,No,8.0,1.0,Active,2.0,568.64,Yes
Dachshund,Female,9.0,20.41,Medium,Active,Wet food,Blue Buffalo,4.83,No,No,11.0,2.0,Moderate,3.0,672.17,Yes
Australian Shepherd,Male,8.0,24.95,Medium,Moderate,Special diet,Hill's Science,4.83,No,No,11.0,2.0,Active,0.0,781.45,Yes
Boxer,Male,12.0,26.76,Large,Low,Home cooked,Special,3.22,No,Yes,12.0,2.0,Very Active,1.0,823.59,No
Great Dane,Female,7.0,27.67,Large,Active,Hard food,Nutro,4.83,No,No,10.0,3.0,Very Active,1.0,844.51,Yes
Siberian Husky,Female,7.0,24.95,Medium,Active,Home cooked,Special,6.44,Yes,No,12.0,0.0,Moderate,0.0,781.45,Yes
Great Dane,Male,5.0,23.59,Medium,Very Active,Special diet,Royal Canin,4.83,No,No,12.0,1.0,Active,0.0,749.28,Yes
Yorkshire Terrier,Male,8.0,22.23,Medium,Low,Home cooked,Special,3.22,No,No,11.0,3.0,Very Active,1.0,716.64,Yes
Boxer,Female,11.0,18.6,Medium,Low,Wet food,Blue Buffalo,4.83,No,No,8.0,3.0,Very Active,3.0,626.95,No
Chihuahua,Female,8.0,30.39,Large,Low,Hard food,Purina,3.22,No,No,12.0,2.0,Very Active,0.0,906.04,No
Dachshund,Male,12.0,23.59,Medium,Active,Hard food,Nutro,0.0,Yes,No,11.0,2.0,Very Active,1.0,749.28,Yes
Poodle,Female,6.0,28.12,Large,Active,Hard food,Royal Canin,9.66,No,No,12.0,1.0,Low,2.0,854.79,Yes
Great Dane,Female,12.0,20.41,Medium,Very Active,Home cooked,Special,6.44,No,No,12.0,0.0,Low,1.0,672.17,Yes
Yorkshire Terrier,Male,10.0,23.13,Medium,Active,Home cooked,Special,6.44,No,No,11.0,2.0,Very Active,1.0,738.29,Yes
Yorkshire Terrier,Male,1.0,23.59,Medium,Moderate,Hard food,Nutro,6.44,No,No,11.0,2.0,Very Active,0.0,749.28,No
Poodle,Male,2.0,14.97,Medium,Moderate,Wet food,Iams,1.61,No,No,10.0,1.0,Low,1.0,532.74,Yes
Chihuahua,Female,5.0,22.68,Medium,Moderate,Home cooked,Special,1.61,Yes,No,12.0,2.0,Very Active,0.0,727.5,No
German Shepherd,Male,8.0,22.68,Medium,Very Active,Wet food,Nutro,4.83,No,No,11.0,2.0,Low,4.0,727.5,Yes
Chihuahua,Male,8.0,20.87,Medium,Very Active,Home cooked,Special,1.61,Yes,No,10.0,1.0,Active,3.0,683.5,Yes
Dachshund,Female,10.0,27.22,Large,Very Active,Home cooked,Special,4.83,Yes,Yes,8.0,3.0,Active,1.0,834.19,No
Doberman,Male,13.0,16.33,Medium,Active,Home cooked,Special,1.61,No,No,12.0,3.0,Active,1.0,568.64,Yes
Golden Retriever,Female,6.0,29.94,Large,Active,Special diet,Pedigree,6.44,No,No,12.0,3.0,Moderate,1.0,895.96,Yes
Poodle,Female,6.0,23.13,Medium,Moderate,Home cooked,Special,6.44,Yes,No,12.0,0.0,Very Active,1.0,738.29,Yes
Australian Shepherd,Male,11.0,34.02,Large,Low,Hard food,Royal Canin,4.83,No,No,11.0,2.0,Very Active,1.0,986.05,Yes
Labrador Retriever,Female,2.0,20.41,Medium,Active,Wet food,Wellness,4.83,Yes,No,10.0,2.0,Active,1.0,672.17,Yes
Yorkshire Terrier,Male,11.0,24.95,Medium,Moderate,Hard food,Nutro,8.05,Yes,No,11.0,1.0,Low,1.0,781.45,No
Yorkshire Terrier,Male,6.0,25.85,Large,Active,Home cooked,Special,6.44,Yes,No,12.0,2.0,Low,2.0,802.5,Yes
Golden Retriever,Male,9.0,22.23,Medium,Active,Hard food,Iams,4.83,No,No,10.0,2.0,Moderate,1.0,716.64,Yes
Great Dane,Male,13.0,22.68,Medium,Active,Hard food,Iams,4.83,No,No,9.0,2.0,Very Active,2.0,727.5,Yes
Rottweiler,Female,7.0,29.03,Large,Moderate,Wet food,Nutro,4.83,No,No,11.0,3.0,Active,0.0,875.45,No
Chihuahua,Male,11.0,16.33,Medium,Active,Wet food,Royal Canin,1.61,No,No,11.0,2.0,Moderate,1.0,568.64,Yes
Rottweiler,Female,9.0,23.59,Medium,Low,Hard food,Purina,6.44,Yes,No,11.0,1.0,Very Active,0.0,749.28,No
Beagle,Female,6.0,18.14,Medium,Active,Wet food,Nutro,1.61,Yes,No,12.0,1.0,Low,2.0,615.28,Yes
Boxer,Female,8.0,26.76,Large,Low,Special diet,Pedigree,3.22,No,No,11.0,1.0,Active,1.0,823.59,Yes
Rottweiler,Male,8.0,4.54,Small,Low,Special diet,Wellness,8.05,No,No,11.0,2.0,Very Active,2.0,217.72,Yes
Australian Shepherd,Male,1.0,7.71,Small,Active,Wet food,Wellness,4.83,No,No,9.0,2.0,Very Active,0.0,323.88,No
Poodle,Male,2.0,32.66,Large,Active,Home cooked,Special,4.83,Yes,Yes,9.0,1.0,Moderate,2.0,956.34,Yes
Golden Retriever,Female,13.0,24.04,Medium,Moderate,Hard food,Purina,9.66,No,No,10.0,0.0,Very Active,1.0,759.97,No
Golden Retriever,Female,5.0,19.05,Medium,Active,Home cooked,Special,1.61,Yes,No,10.0,2.0,Very Active,1.0,638.29,Yes
Poodle,Male,11.0,13.61,Medium,Active,Hard food,Pedigree,0.0,Yes,No,11.0,2.0,Moderate,3.0,496.01,Yes
Labrador Retriever,Female,9.0,22.68,Medium,Active,Wet food,Pedigree,9.66,Yes,Yes,10.0,3.0,Active,1.0,727.5,No
Yorkshire Terrier,Female,9.0,33.11,Large,Low,Wet food,Purina,1.61,No,No,9.0,2.0,Moderate,1.0,966.2,No
Doberman,Female,10.0,16.33,Medium,Active,Special diet,Nutro,4.83,Yes,No,11.0,2.0,Low,1.0,568.64,Yes
Australian Shepherd,Male,9.0,25.4,Large,Active,Wet food,Royal Canin,6.44,No,No,11.0,2.0,Very Active,1.0,792.0,Yes
Australian Shepherd,Male,5.0,31.75,Large,Very Active,Special diet,Nutro,3.22,No,No,12.0,2.0,Low,2.0,936.28,Yes
Bulldog,Male,2.0,10.89,Medium,Low,Wet food,Nutro,4.83,Yes,No,12.0,2.0,Active,1.0,419.63,No
Australian Shepherd,Male,1.0,24.04,Medium,Active,Hard food,Blue Buffalo,1.61,Yes,Yes,10.0,0.0,Moderate,2.0,759.97,No
Great Dane,Female,8.0,14.51,Medium,Very Active,Hard food,Nutro,3.22,Yes,No,10.0,1.0,Very Active,0.0,520.41,Yes
Yorkshire Terrier,Male,8.0,11.34,Medium,Active,Special diet,Purina,4.83,No,No,10.0,2.0,Very Active,2.0,432.57,Yes
Poodle,Female,9.0,20.41,Medium,Moderate,Special diet,Pedigree,4.83,No,No,12.0,1.0,Low,0.0,672.17,No
Dachshund,Male,12.0,17.24,Medium,Moderate,Home cooked,Special,8.05,Yes,No,9.0,1.0,Very Active,3.0,592.24,Yes
Golden Retriever,Male,3.0,35.83,Large,Active,Home cooked,Special,3.22,Yes,No,11.0,0.0,Moderate,1.0,1025.14,Yes
Bulldog,Female,8.0,15.42,Medium,Active,Hard food,Hill's Science,4.83,Yes,No,12.0,1.0,Moderate,0.0,544.7,No
Yorkshire Terrier,Female,13.0,29.48,Large,Active,Wet food,Wellness,1.61,No,No,12.0,0.0,Low,3.0,885.61,Yes
Rottweiler,Male,4.0,21.77,Medium,Very Active,Special diet,Pedigree,8.05,No,No,11.0,0.0,Active,0.0,705.49,Yes
Poodle,Male,6.0,21.77,Medium,Moderate,Hard food,Nutro,4.83,No,Yes,11.0,0.0,Very Active,1.0,705.49,Yes
Yorkshire Terrier,Female,11.0,31.3,Large,Low,Special diet,Nutro,3.22,No,Yes,12.0,1.0,Very Active,1.0,926.31,Yes
Great Dane,Male,3.0,21.77,Medium,Moderate,Wet food,Pedigree,1.61,No,No,10.0,2.0,Very Active,1.0,705.49,Yes
Chihuahua,Male,1.0,19.96,Medium,Very Active,Home cooked,Special,3.22,Yes,No,11.0,0.0,Very Active,3.0,661.03,Yes
Doberman,Male,9.0,16.33,Medium,Active,Wet food,Nutro,4.83,No,No,12.0,1.0,Very Active,2.0,568.64,Yes
Siberian Husky,Female,11.0,13.15,Medium,Moderate,Special diet,Purina,6.44,Yes,No,11.0,2.0,Active,1.0,483.38,Yes
Dachshund,Male,3.0,32.21,Large,Active,Special diet,Royal Canin,3.22,No,No,13.0,1.0,Very Active,0.0,946.44,Yes
Great Dane,Male,9.0,24.04,Medium,Low,Hard food,Hill's Science,6.44,Yes,No,11.0,3.0,Moderate,1.0,759.97,No
German Shepherd,Female,1.0,20.87,Medium,Active,Wet food,Royal Canin,3.22,No,No,12.0,0.0,Very Active,1.0,683.5,Yes
Great Dane,Female,4.0,25.85,Large,Very Active,Special diet,Purina,8.05,Yes,No,11.0,1.0,Very Active,0.0,802.5,Yes
Golden Retriever,Female,3.0,25.85,Large,Active,Home cooked,Special,0.0,No,No,12.0,0.0,Very Active,0.0,802.5,Yes
Yorkshire Terrier,Male,9.0,13.61,Medium,Active,Wet food,Purina,3.22,No,No,12.0,2.0,Low,1.0,496.01,Yes
Australian Shepherd,Female,11.0,23.13,Medium,Active,Home cooked,Special,3.22,Yes,No,14.0,0.0,Very Active,4.0,738.29,Yes
Bulldog,Female,5.0,21.32,Medium,Active,Home cooked,Special,4.83,No,No,9.0,1.0,Low,3.0,694.53,Yes
Chihuahua,Male,7.0,24.04,Medium,Very Active,Hard food,Iams,1.61,No,No,12.0,1.0,Moderate,1.0,759.97,Yes
Australian Shepherd,Male,11.0,12.25,Medium,Active,Home cooked,Special,4.83,Yes,No,12.0,2.0,Active,1.0,458.35,No
Yorkshire Terrier,Male,8.0,19.05,Medium,Low,Hard food,Wellness,8.05,No,No,13.0,3.0,Very Active,4.0,638.29,Yes
German Shepherd,Male,11.0,20.87,Medium,Low,Wet food,Hill's Science,3.22,Yes,Yes,9.0,2.0,Very Active,0.0,683.5,No
Beagle,Male,6.0,29.03,Large,Active,Hard food,Purina,3.22,Yes,No,10.0,2.0,Active,2.0,875.45,No
Mixed/SRD,Female,9.0,22.68,Medium,Low,Wet food,Wellness,3.22,Yes,No,12.0,2.0,Moderate,0.0,727.5,No
Golden Retriever,Male,10.0,20.41,Medium,Active,Wet food,Hill's Science,4.83,Yes,No,14.0,1.0,Very Active,2.0,672.17,No
Doberman,Female,5.0,18.6,Medium,Low,Special diet,Nutro,4.83,No,No,12.0,3.0,Low,0.0,626.95,Yes
Great Dane,Female,2.0,24.95,Medium,Active,Hard food,Hill's Science,3.22,Yes,No,9.0,2.0,Very Active,0.0,781.45,Yes
Rottweiler,Female,10.0,24.04,Medium,Low,Home cooked,Special,6.44,Yes,No,9.0,1.0,Very Active,0.0,759.97,No
Golden Retriever,Female,8.0,34.47,Large,Moderate,Home cooked,Special,4.83,No,No,11.0,3.0,Moderate,3.0,995.82,Yes
Labrador Retriever,Female,9.0,17.69,Medium,Active,Wet food,Hill's Science,3.22,Yes,No,8.0,1.0,Moderate,2.0,603.8,Yes
Doberman,Female,3.0,18.6,Medium,Active,Hard food,Blue Buffalo,6.44,Yes,No,9.0,3.0,Moderate,2.0,626.95,Yes
Mixed/SRD,Female,5.0,24.04,Medium,Moderate,Hard food,Blue Buffalo,4.83,No,No,12.0,1.0,Low,1.0,759.97,Yes
Bulldog,Male,8.0,30.84,Large,Active,Home cooked,Special,4.83,No,No,9.0,1.0,Moderate,1.0,916.08,Yes
Boxer,Female,11.0,24.95,Medium,Active,Home cooked,Special,4.83,Yes,No,12.0,3.0,Moderate,4.0,781.45,Yes
Bulldog,Female,8.0,21.32,Medium,Low,Wet food,Iams,3.22,Yes,No,11.0,0.0,Very Active,0.0,694.53,No
Poodle,Male,7.0,25.4,Large,Active,Special diet,Nutro,8.05,No,No,11.0,1.0,Active,3.0,792.0,Yes
German Shepherd,Female,7.0,9.07,Small,Very Active,Hard food,Nutro,1.61,No,No,11.0,2.0,Low,0.0,365.85,Yes
Poodle,Female,6.0,25.85,Large,Active,Special diet,Purina,0.0,No,No,12.0,2.0,Very Active,0.0,802.5,Yes
Bulldog,Female,9.0,22.68,Medium,Very Active,Home cooked,Special,6.44,Yes,No,12.0,1.0,Active,0.0,727.5,Yes
Bulldog,Male,1.0,26.31,Large,Active,Wet food,Royal Canin,6.44,No,No,11.0,2.0,Very Active,1.0,813.18,Yes
Beagle,Male,4.0,36.29,Large,Low,Wet food,Pedigree,8.05,No,No,12.0,2.0,Low,0.0,1035.0,No
Labrador Retriever,Male,5.0,20.41,Medium,Moderate,Wet food,Wellness,1.61,No,No,11.0,0.0,Moderate,1.0,672.17,Yes
Rottweiler,Male,4.0,25.4,Large,Low,Special diet,Purina,0.0,Yes,No,11.0,2.0,Moderate,3.0,792.0,Yes
Bulldog,Female,5.0,22.68,Medium,Very Active,Special diet,Hill's Science,4.83,No,No,10.0,3.0,Active,1.0,727.5,Yes
Bulldog,Female,1.0,22.68,Medium,Low,Special diet,Blue Buffalo,3.22,No,No,9.0,2.0,Active,1.0,727.5,Yes
Bulldog,Female,3.0,25.85,Large,Active,Home cooked,Special,3.22,No,No,12.0,1.0,Moderate,2.0,802.5,Yes
Chihuahua,Male,5.0,19.05,Medium,Low,Hard food,Royal Canin,3.22,No,No,11.0,3.0,Active,1.0,638.29,Yes
Siberian Husky,Female,3.0,31.75,Large,Moderate,Wet food,Purina,0.0,No,No,9.0,0.0,Moderate,1.0,936.28,Yes
Chihuahua,Female,9.0,24.49,Medium,Low,Wet food,Pedigree,4.83,No,No,14.0,2.0,Moderate,1.0,770.62,No
Siberian Husky,Male,12.0,20.41,Medium,Active,Wet food,Iams,4.83,No,No,10.0,3.0,Low,1.0,672.17,Yes
Doberman,Female,7.0,21.32,Medium,Low,Wet food,Purina,6.44,No,No,11.0,2.0,Active,0.0,694.53,Yes
Siberian Husky,Female,2.0,35.83,Large,Active,Wet food,Royal Canin,1.61,Yes,No,11.0,3.0,Moderate,1.0,1025.14,Yes
Labrador Retriever,Male,2.0,20.41,Medium,Moderate,Wet food,Special,3.22,Yes,No,11.0,1.0,Very Active,2.0,672.17,No
Siberian Husky,Female,8.0,26.31,Large,Very Active,Home cooked,Special,0.0,No,No,11.0,0.0,Low,2.0,813.18,Yes
Siberian Husky,Male,4.0,33.57,Large,Very Active,Hard food,Pedigree,6.44,Yes,No,11.0,1.0,Very Active,1.0,976.25,Yes
Doberman,Female,8.0,24.95,Medium,Active,Wet food,Wellness,6.44,Yes,No,8.0,2.0,Low,2.0,781.45,Yes
Poodle,Male,7.0,19.96,Medium,Active,Special diet,Royal Canin,4.83,No,No,12.0,1.0,Active,3.0,661.03,Yes
Poodle,Male,2.0,28.58,Large,Active,Hard food,Royal Canin,4.83,No,No,10.0,1.0,Active,0.0,865.26,Yes
Labrador Retriever,Female,12.0,16.33,Medium,Active,Hard food,Purina,6.44,No,No,12.0,3.0,Active,2.0,568.64,Yes
Beagle,Male,7.0,14.51,Medium,Very Active,Special diet,Blue Buffalo,9.66,Yes,No,8.0,1.0,Active,2.0,520.41,Yes
Siberian Husky,Female,10.0,25.85,Large,Very Active,Wet food,Blue Buffalo,4.83,No,No,13.0,0.0,Active,1.0,802.5,Yes
Yorkshire Terrier,Male,8.0,34.47,Large,Very Active,Hard food,Blue Buffalo,1.61,No,No,13.0,2.0,Very Active,1.0,995.82,Yes
Beagle,Male,8.0,23.13,Medium,Active,Special diet,Purina,1.61,No,No,10.0,2.0,Low,2.0,738.29,Yes
Mixed/SRD,Female,12.0,29.48,Large,Moderate,Home cooked,Special,8.05,No,No,13.0,1.0,Very Active,2.0,885.61,Yes
Poodle,Male,4.0,14.51,Medium,Low,Home cooked,Special,0.0,No,No,12.0,0.0,Low,0.0,520.41,Yes
Mixed/SRD,Female,3.0,23.13,Medium,Low,Wet food,Wellness,4.83,Yes,No,9.0,1.0,Active,3.0,738.29,Yes
Bulldog,Male,3.0,29.94,Large,Moderate,Home cooked,Special,4.83,No,No,11.0,0.0,Active,1.0,895.96,Yes
Great Dane,Male,7.0,18.14,Medium,Very Active,Hard food,Iams,6.44,No,No,10.0,3.0,Very Active,0.0,615.28,Yes
Poodle,Male,11.0,8.62,Small,Active,Home cooked,Special,4.83,Yes,No,8.0,2.0,Low,1.0,352.15,Yes
Australian Shepherd,Male,2.0,20.87,Medium,Very Active,Wet food,Hill's Science,4.83,No,No,12.0,3.0,Very Active,3.0,683.5,Yes
Rottweiler,Male,8.0,19.5,Medium,Active,Special diet,Purina,6.44,Yes,No,9.0,3.0,Moderate,2.0,649.57,Yes
Boxer,Male,5.0,41.28,Large,Moderate,Home cooked,Special,4.83,Yes,No,13.0,2.0,Active,0.0,1139.99,No
Boxer,Female,9.0,17.24,Medium,Low,Hard food,Wellness,9.66,Yes,No,11.0,2.0,Very Active,0.0,592.24,No
Doberman,Female,3.0,23.13,Medium,Low,Wet food,Nutro,0.0,Yes,No,12.0,1.0,Moderate,1.0,738.29,Yes
Labrador Retriever,Male,2.0,24.95,Medium,Active,Hard food,Wellness,6.44,Yes,No,11.0,0.0,Very Active,1.0,781.45,Yes
Australian Shepherd,Male,4.0,21.32,Medium,Low,Special diet,Purina,0.0,Yes,No,10.0,1.0,Very Active,1.0,694.53,Yes
Doberman,Male,3.0,5.44,Small,Active,Home cooked,Special,4.83,No,No,13.0,1.0,Low,1.0,249.34,Yes
Yorkshire Terrier,Male,12.0,28.58,Large,Moderate,Hard food,Royal Canin,1.61,No,No,12.0,2.0,Very Active,2.0,865.26,Yes
Great Dane,Female,9.0,29.94,Large,Active,Wet food,Pedigree,3.22,Yes,No,12.0,0.0,Active,2.0,895.96,Yes
German Shepherd,Male,9.0,26.31,Large,Low,Hard food,Blue Buffalo,4.83,Yes,No,11.0,0.0,Moderate,2.0,813.18,No
German Shepherd,Female,6.0,26.76,Large,Active,Hard food,Blue Buffalo,1.61,No,No,12.0,1.0,Moderate,4.0,823.59,Yes
Dachshund,Male,13.0,24.49,Medium,Low,Wet food,Pedigree,4.83,Yes,No,11.0,1.0,Moderate,1.0,770.62,No
Beagle,Male,2.0,16.33,Medium,Low,Wet food,Nutro,6.44,Yes,No,12.0,3.0,Very Active,1.0,568.64,Yes
Dachshund,Male,6.0,19.05,Medium,Low,Hard food,Iams,4.83,No,No,9.0,1.0,Very Active,1.0,638.29,Yes
Rottweiler,Female,1.0,15.88,Medium,Low,Home cooked,Special,4.83,No,No,11.0,2.0,Low,0.0,556.85,No
Rottweiler,Female,12.0,26.31,Large,Low,Wet food,Royal Canin,4.83,Yes,No,10.0,2.0,Very Active,0.0,813.18,No
Boxer,Male,9.0,37.19,Large,Very Active,Hard food,Hill's Science,8.05,No,No,13.0,3.0,Very Active,2.0,1054.19,Yes
Dachshund,Male,10.0,24.04,Medium,Active,Special diet,Pedigree,4.83,Yes,No,13.0,2.0,Moderate,1.0,759.97,Yes
German Shepherd,Male,13.0,4.54,Small,Low,Home cooked,Special,4.83,No,No,11.0,1.0,Low,1.0,217.72,Yes
Bulldog,Female,6.0,19.5,Medium,Active,Hard food,Special,1.61,Yes,No,12.0,0.0,Moderate,2.0,649.57,Yes
Chihuahua,Male,13.0,20.87,Medium,Active,Wet food,Nutro,6.44,No,No,12.0,2.0,Moderate,3.0,683.5,Yes
Poodle,Male,9.0,23.59,Medium,Moderate,Special diet,Purina,3.22,No,No,11.0,2.0,Very Active,1.0,749.28,Yes
Beagle,Male,9.0,27.22,Large,Low,Hard food,Royal Canin,6.44,Yes,No,11.0,3.0,Low,4.0,834.19,No
Siberian Husky,Female,9.0,9.07,Small,Moderate,Special diet,Wellness,0.0,No,No,10.0,0.0,Very Active,0.0,365.85,No
Beagle,Female,13.0,27.22,Large,Active,Hard food,Special,6.44,No,No,10.0,1.0,Very Active,1.0,834.19,Yes
Golden Retriever,Female,3.0,25.4,Large,Active,Special diet,Purina,0.0,No,No,8.0,1.0,Moderate,3.0,792.0,Yes
Great Dane,Female,7.0,27.67,Large,Moderate,Hard food,Royal Canin,4.83,No,No,10.0,1.0,Low,1.0,844.51,No
Golden Retriever,Female,1.0,29.03,Large,Very Active,Wet food,Blue Buffalo,1.61,No,No,12.0,1.0,Very Active,2.0,875.45,Yes
Poodle,Female,5.0,26.31,Large,Active,Wet food,Iams,6.44,Yes,No,10.0,2.0,Very Active,0.0,813.18,No
Siberian Husky,Male,13.0,26.31,Large,Active,Home cooked,Special,4.83,Yes,No,11.0,2.0,Active,1.0,813.18,Yes
Doberman,Female,13.0,15.88,Medium,Active,Hard food,Wellness,3.22,Yes,No,12.0,1.0,Very Active,0.0,556.85,No
Australian Shepherd,Female,13.0,30.84,Large,Moderate,Wet food,Nutro,3.22,No,No,10.0,0.0,Very Active,1.0,916.08,Yes
Yorkshire Terrier,Male,13.0,20.41,Medium,Active,Hard food,Iams,3.22,Yes,No,13.0,2.0,Moderate,2.0,672.17,No
Golden Retriever,Female,4.0,19.5,Medium,Low,Home cooked,Special,6.44,Yes,No,13.0,2.0,Low,2.0,649.57,Yes
Doberman,Female,7.0,24.95,Medium,Moderate,Special diet,Nutro,4.83,Yes,No,10.0,1.0,Moderate,2.0,781.45,Yes
Poodle,Female,5.0,15.88,Medium,Moderate,Wet food,Special,4.83,No,No,9.0,0.0,Active,1.0,556.85,Yes
Doberman,Male,6.0,32.21,Large,Very Active,Wet food,Hill's Science,3.22,No,No,10.0,1.0,Low,0.0,946.44,Yes
Australian Shepherd,Male,10.0,21.32,Medium,Active,Home cooked,Special,4.83,Yes,No,13.0,0.0,Very Active,4.0,694.53,Yes
Bulldog,Male,9.0,11.79,Medium,Active,Wet food,Iams,6.44,Yes,No,10.0,1.0,Active,1.0,445.38,No
Labrador Retriever,Female,2.0,22.68,Medium,Low,Wet food,Royal Canin,0.0,No,No,10.0,1.0,Active,2.0,727.5,Yes
German Shepherd,Male,11.0,29.94,Large,Active,Wet food,Blue Buffalo,4.83,Yes,No,10.0,2.0,Very Active,2.0,895.96,Yes
Poodle,Female,10.0,20.87,Medium,Active,Hard food,Purina,4.83,Yes,No,11.0,2.0,Moderate,1.0,683.5,Yes
Chihuahua,Female,8.0,9.53,Small,Active,Home cooked,Special,4.83,No,No,13.0,2.0,Very Active,2.0,379.68,Yes
Boxer,Male,7.0,26.31,Large,Active,Home cooked,Special,3.22,No,No,10.0,1.0,Moderate,1.0,813.18,Yes
Dachshund,Male,13.0,21.32,Medium,Active,Hard food,Blue Buffalo,8.05,No,No,11.0,1.0,Very Active,3.0,694.53,Yes
Great Dane,Female,13.0,19.05,Medium,Active,Special diet,Iams,3.22,No,No,11.0,1.0,Low,3.0,638.29,Yes
Australian Shepherd,Male,12.0,22.68,Medium,Active,Wet food,Pedigree,1.61,No,No,11.0,2.0,Active,1.0,727.5,Yes
Siberian Husky,Female,1.0,30.84,Large,Very Active,Wet food,Pedigree,8.05,Yes,No,11.0,2.0,Low,1.0,916.08,Yes
Bulldog,Female,2.0,20.87,Medium,Active,Home cooked,Special,3.22,No,No,10.0,1.0,Low,0.0,683.5,Yes
Dachshund,Male,10.0,22.68,Medium,Moderate,Home cooked,Special,4.83,No,No,12.0,2.0,Moderate,2.0,727.5,Yes
Siberian Husky,Female,4.0,28.58,Large,Active,Wet food,Royal Canin,3.22,Yes,No,12.0,0.0,Very Active,0.0,865.26,No
Poodle,Male,10.0,27.22,Large,Very Active,Special diet,Nutro,3.22,No,No,11.0,1.0,Very Active,1.0,834.19,Yes
Poodle,Female,5.0,28.58,Large,Low,Hard food,Hill's Science,4.83,No,No,8.0,1.0,Moderate,1.0,865.26,Yes
Dachshund,Female,6.0,20.87,Medium,Active,Hard food,Purina,4.83,Yes,No,12.0,3.0,Very Active,0.0,683.5,No
Boxer,Female,8.0,18.6,Medium,Active,Wet food,Pedigree,4.83,Yes,No,10.0,2.0,Low,1.0,626.95,Yes
Labrador Retriever,Female,5.0,27.67,Large,Moderate,Home cooked,Special,8.05,Yes,No,9.0,4.0,Very Active,2.0,844.51,Yes
Bulldog,Female,11.0,16.33,Medium,Active,Hard food,Blue Buffalo,6.44,No,Yes,11.0,0.0,Low,2.0,568.64,Yes
Chihuahua,Male,12.0,24.49,Medium,Active,Hard food,Iams,3.22,Yes,No,12.0,0.0,Very Active,1.0,770.62,No
Yorkshire Terrier,Male,10.0,17.69,Medium,Active,Home cooked,Special,1.61,Yes,No,11.0,1.0,Very Active,2.0,603.8,No
Boxer,Female,7.0,24.95,Medium,Active,Home cooked,Special,4.83,No,No,10.0,2.0,Very Active,1.0,781.45,Yes
Golden Retriever,Female,13.0,29.94,Large,Moderate,Home cooked,Special,6.44,No,No,11.0,1.0,Very Active,1.0,895.96,Yes
Doberman,Female,13.0,24.95,Medium,Very Active,Special diet,Blue Buffalo,6.44,Yes,No,11.0,0.0,Moderate,1.0,781.45,Yes
Mixed/SRD,Female,9.0,9.98,Small,Moderate,Special diet,Royal Canin,0.0,Yes,No,12.0,1.0,Very Active,1.0,393.05,No
Great Dane,Male,1.0,20.87,Medium,Active,Wet food,Purina,4.83,Yes,No,10.0,2.0,Very Active,2.0,683.5,No
Rottweiler,Female,13.0,22.68,Medium,Low,Home cooked,Special,8.05,Yes,No,8.0,1.0,Very Active,2.0,727.5,No
Chihuahua,Male,4.0,22.68,Medium,Very Active,Wet food,Hill's Science,4.83,Yes,No,12.0,1.0,Very Active,1.0,727.5,Yes
Boxer,Male,2.0,24.49,Medium,Moderate,Hard food,Iams,1.61,No,No,11.0,2.0,Very Active,1.0,770.62,Yes
Boxer,Male,10.0,22.68,Medium,Moderate,Wet food,Blue Buffalo,3.22,Yes,No,10.0,2.0,Low,3.0,727.5,No
Labrador Retriever,Female,8.0,22.68,Medium,Moderate,Hard food,Purina,1.61,Yes,No,11.0,0.0,Very Active,2.0,727.5,Yes
Great Dane,Female,13.0,21.77,Medium,Active,Home cooked,Special,1.61,No,No,9.0,3.0,Very Active,0.0,705.49,Yes
Beagle,Female,5.0,30.39,Large,Active,Hard food,Purina,1.61,Yes,No,11.0,1.0,Very Active,1.0,906.04,No
Australian Shepherd,Female,13.0,19.96,Medium,Active,Special diet,Hill's Science,3.22,No,No,9.0,3.0,Low,1.0,661.03,Yes
Yorkshire Terrier,Male,8.0,20.41,Medium,Active,Special diet,Special,3.22,No,No,11.0,0.0,Active,2.0,672.17,Yes
